species,genus,species_1,family,order,C,S,R,CSR
Dactylorhiza majalis,Dactylorhiza,majalis,Orchidaceae,Asparagales,51.08,0,48.92,CR
Dactylorhiza traunsteineri,Dactylorhiza,traunsteineri,Orchidaceae,Asparagales,33.82,0,66.18,R/CR
Dalea polygonoides,Dalea,polygonoides,Fabaceae,Fabales,19.68,38.48,41.84,SR/CSR
Desmodium canadense,Desmodium,canadense,Fabaceae,Fabales,27.26,47.32,25.42,S/CSR
Desmodium ciliare,Desmodium,ciliare,Fabaceae,Fabales,7.86,82.65,9.49,S
Dianthus superbus,Dianthus,superbus,Caryophyllaceae,Caryophyllales,19.61,22.26,58.12,R/CSR
Diapensia lapponica,Diapensia,lapponica,Diapensiaceae,Ericales,0,100,0,S
Doronicum clusii,Doronicum,clusii,Asteraceae,Asterales,36.51,0,63.49,R/CR
Doronicum grandiflorum,Doronicum,grandiflorum,Asteraceae,Asterales,39.29,0,60.71,CR
Draba aizoides,Draba,aizoides,Brassicaceae,Brassicales,0,66.38,33.62,S/SR
Draba asprella,Draba,asprella,Brassicaceae,Brassicales,5.14,38.95,55.91,SR
Draba dubia,Draba,dubia,Brassicaceae,Brassicales,0,85.04,14.96,S
Draba hispida,Draba,hispida,Brassicaceae,Brassicales,0.67,0,99.33,R
Dracaena sanderiana,Dracaena,sanderiana,Asparagaceae,Asparagales,23.44,54.29,22.27,S/CSR
Drosera anglica,Drosera,anglica,Droseraceae,Caryophyllales,7.57,0,92.43,R
Dryopteris affinis,Dryopteris,affinis,Dryopteridaceae,Polypodiales,71.7,6.8,21.5,C/CR
Dryopteris carthusiana,Dryopteris,carthusiana,Dryopteridaceae,Polypodiales,73.45,9.5,17.05,C/CR
Dryopteris expansa,Dryopteris,expansa,Dryopteridaceae,Polypodiales,32.65,26.21,41.14,CSR
Dryopteris remota,Dryopteris,remota,Dryopteridaceae,Polypodiales,66.55,0,33.45,C/CR
Echeandia flavescens,Echeandia,flavescens,Asparagaceae,Asparagales,38.31,0,61.69,CR
Epilobium alpestre,Epilobium,alpestre,Onagraceae,Myrtales,18.72,24.57,56.71,R/CSR
Epilobium anagallidifolium,Epilobium,anagallidifolium,Onagraceae,Myrtales,0,58.97,41.03,SR
Epilobium fleischeri,Epilobium,fleischeri,Onagraceae,Myrtales,8.45,59.33,32.22,S/SR
Epilobium palustre,Epilobium,palustre,Onagraceae,Myrtales,34.05,0,65.95,R/CR
Equisetum fluviatile,Equisetum,fluviatile,Equisetaceae,Equisetales,15.77,84.23,0,S
Equisetum sylvaticum,Equisetum,sylvaticum,Equisetaceae,Equisetales,12.9,47.2,39.9,SR/CSR
Erigeron alpinus,Erigeron,alpinus,Asteraceae,Asterales,16.67,43.45,39.88,SR/CSR
Erigeron borealis,Erigeron,borealis,Asteraceae,Asterales,13.42,0,86.58,R
Erigeron caucasicus,Erigeron,caucasicus,Asteraceae,Asterales,29.58,18.13,52.29,R/CSR
Erigeron formosissimus,Erigeron,formosissimus,Asteraceae,Asterales,14.47,52.2,33.33,S/CSR
Erigeron speciosus,Erigeron,speciosus,Asteraceae,Asterales,22.85,40.04,37.11,SR/CSR
Erigeron uniflorus,Erigeron,uniflorus,Asteraceae,Asterales,2.68,20.87,76.45,R/SR
Eriogonum pharnaceoides,Eriogonum,pharnaceoides,Polygonaceae,Caryophyllales,11.17,46.73,42.1,SR/CSR
Eriope arenaria,Eriope,arenaria,Lamiaceae,Lamiales,1.37,87.39,11.25,S
Eritrichium caucasicum,Eritrichium,caucasicum,Boraginaceae,Boraginales,5.51,77.83,16.65,S/SR
Erodium lebelii,Erodium,lebelii,Geraniaceae,Geraniales,17.29,46.61,36.1,SR/CSR
Eryngium yuccifolium,Eryngium,yuccifolium,Apiaceae,Apiales,23.63,76.37,0,S/CS
Eupatorium coelestinum,Eupatorium,coelestinum,Asteraceae,Asterales,12.45,69.59,17.97,S/SR
Eupatorium maculatum,Eupatorium,maculatum,Asteraceae,Asterales,44.87,37.42,17.71,CS/CSR
Eupatorium perfoliatum,Eupatorium,perfoliatum,Asteraceae,Asterales,41.38,45.21,13.42,CS/CSR
Ageratina altissima,Ageratina,altissima,Asteraceae,Asterales,32.04,17.57,50.38,R/CSR
Euphorbia brachycera,Euphorbia,brachycera,Euphorbiaceae,Malpighiales,5.59,68.66,25.75,S/SR
Euphorbia peplis,Euphorbia,peplis,Euphorbiaceae,Malpighiales,19.06,4.55,76.39,R/CR
Euphorbia stricta,Euphorbia,stricta,Euphorbiaceae,Malpighiales,8.29,31.57,60.15,R/SR
Euphrasia frigida,Euphrasia,frigida,Orobanchaceae,Lamiales,0.72,71.04,28.24,S/SR
Euphrasia minima,Euphrasia,minima,Orobanchaceae,Lamiales,1.98,13.91,84.11,R
Euphrasia officinalis,Euphrasia,officinalis,Orobanchaceae,Lamiales,3.28,55.65,41.08,SR
Euphrasia ossica,Euphrasia,ossica,Orobanchaceae,Lamiales,1.54,24.19,74.28,R/SR
Bartsia stricta,Bartsia,stricta,Orobanchaceae,Lamiales,0.9,44.46,54.64,SR
Evolvulus lithospermoides,Evolvulus,lithospermoides,Convolvulaceae,Solanales,6.11,70.31,23.57,S/SR
Reynoutria japonica,Reynoutria,japonica,Polygonaceae,Caryophyllales,56.97,25.33,17.7,C/CSR
Gnaphalium uliginosum,Gnaphalium,uliginosum,Asteraceae,Asterales,5.81,0,94.19,R
Filago minima,Filago,minima,Asteraceae,Asterales,0,58.18,41.82,SR
Fragaria viridis,Fragaria,viridis,Rosaceae,Rosales,22.81,57.29,19.89,S/CSR
Fritillaria collina,Fritillaria,collina,Liliaceae,Liliales,29.17,0,70.83,R/CR
Gagea spathacea,Gagea,spathacea,Liliaceae,Liliales,18.31,0,81.69,R/CR
Galinsoga quadriradiata,Galinsoga,quadriradiata,Asteraceae,Asterales,31.93,0,68.07,R/CR
Galium lucidum,Galium,lucidum,Rubiaceae,Gentianales,1.99,19.47,78.53,R/SR
Galium montis-arerae,Galium,montis-arerae,Rubiaceae,Gentianales,0,0,100,R
Galium obtusum,Galium,obtusum,Rubiaceae,Gentianales,6.35,32.54,61.11,R/SR
Gentiana acaulis,Gentiana,acaulis,Gentianaceae,Gentianales,13.21,81.81,4.98,S
Gentiana alpina,Gentiana,alpina,Gentianaceae,Gentianales,9.14,71.67,19.19,S/SR
Gentiana bavarica,Gentiana,bavarica,Gentianaceae,Gentianales,0,66.01,33.99,S/SR
Gentianella biebersteinii,Gentianella,biebersteinii,Gentianaceae,Gentianales,13.66,12.6,73.74,R/CR
Gentiana brachyphylla,Gentiana,brachyphylla,Gentianaceae,Gentianales,0,66.59,33.41,S/SR
Gentiana nivalis,Gentiana,nivalis,Gentianaceae,Gentianales,0,0,100,R
Gentiana pneumonanthe,Gentiana,pneumonanthe,Gentianaceae,Gentianales,11.92,40.88,47.2,SR/CSR
Gentiana punctata,Gentiana,punctata,Gentianaceae,Gentianales,60.23,2.97,36.8,CR
Gentiana purpurea,Gentiana,purpurea,Gentianaceae,Gentianales,46.34,30.52,23.14,C/CSR
Gentiana pyrenaica,Gentiana,pyrenaica,Gentianaceae,Gentianales,0.7,60.2,39.1,SR
Gentianella insubrica,Gentianella,insubrica,Gentianaceae,Gentianales,19.78,0,80.22,R/CR
Geranium caespitosum,Geranium,caespitosum,Geraniaceae,Geraniales,39.09,51.64,9.27,CS
Geranium gymnocaulon,Geranium,gymnocaulon,Geraniaceae,Geraniales,35.03,40.72,24.24,CS/CSR
Geranium maculatum,Geranium,maculatum,Geraniaceae,Geraniales,51.89,6.93,41.18,CR
Geranium palustre,Geranium,palustre,Geraniaceae,Geraniales,51.18,22.04,26.78,C/CSR
Geranium richardsonii,Geranium,richardsonii,Geraniaceae,Geraniales,54.11,14.86,31.03,C/CSR
Geum canadense,Geum,canadense,Rosaceae,Rosales,41.34,27.8,30.87,CSR
Geum montanum,Geum,montanum,Rosaceae,Rosales,28.67,56.43,14.9,S/CSR
Geum reptans,Geum,reptans,Rosaceae,Rosales,28.73,71.27,0,S/CS
Geum rivale,Geum,rivale,Rosaceae,Rosales,49.09,27.05,23.86,C/CSR
Lysimachia maritima,Lysimachia,maritima,Primulaceae,Ericales,28.21,18.96,52.83,R/CSR
Globularia vulgaris,Globularia,vulgaris,Plantaginaceae,Lamiales,18.88,65.31,15.82,S/CS
Globularia nudicaulis,Globularia,nudicaulis,Plantaginaceae,Lamiales,37.02,42.55,20.43,CS/CSR
Gnaphalium hoppeanum,Gnaphalium,hoppeanum,Asteraceae,Asterales,2.66,75.74,21.61,S/SR
Pseudognaphalium obtusifolium,Pseudognaphalium,obtusifolium,Asteraceae,Asterales,22.46,0,77.54,R/CR
Gnaphalium supinum,Gnaphalium,supinum,Asteraceae,Asterales,0,64.47,35.53,S/SR
Gomphrena incana,Gomphrena,incana,Amaranthaceae,Caryophyllales,39.33,60.67,0,CS
Gymnadenia odoratissima,Gymnadenia,odoratissima,Orchidaceae,Asparagales,30.56,0,69.44,R/CR
Gymnocarpium dryopteris,Gymnocarpium,dryopteris,Cystopteridaceae,Polypodiales,33.09,10.5,56.41,R/CSR
Atriplex pedunculata,Atriplex,pedunculata,Amaranthaceae,Caryophyllales,22,2.52,75.48,R/CR
Hedyotis purpurea,Hedyotis,purpurea,Rubiaceae,Gentianales,3.26,61.68,35.06,S/SR
Hedysarum caucasicum,Hedysarum,caucasicum,Fabaceae,Fabales,39.57,22.85,37.59,CR/CSR
Hedysarum hedysaroides,Hedysarum,hedysaroides,Fabaceae,Fabales,35.69,25.06,39.24,CSR
Helianthella quinquenervis,Helianthella,quinquenervis,Asteraceae,Asterales,53.09,11.16,35.74,CR/CSR
Helianthemum bicknellii,Helianthemum,bicknellii,Cistaceae,Malvales,6.88,53.15,39.97,SR
Heliotropium tenellum,Heliotropium,tenellum,Boraginaceae,Boraginales,1.96,52.01,46.02,SR
Heuchera richardsonii,Heuchera,richardsonii,Saxifragaceae,Saxifragales,46.85,52.65,0.5,CS
Hieracium alpinum,Hieracium,alpinum,Asteraceae,Asterales,27.17,14.96,57.87,R/CSR
Pilosella glacialis,Pilosella,glacialis,Asteraceae,Asterales,9.56,59.18,31.26,S/CSR
Pilosella aurantiaca,Pilosella,aurantiaca,Asteraceae,Asterales,12.5,65.44,22.06,S/SR
Hieracium bifidum,Hieracium,bifidum,Asteraceae,Asterales,25.9,32.66,41.44,CSR
Pilosella cymosa,Pilosella,cymosa,Asteraceae,Asterales,51.46,0,48.54,CR
Pilosella echioides,Pilosella,echioides,Asteraceae,Asterales,37.24,10.16,52.59,CR
Hieracium fendleri,Hieracium,fendleri,Asteraceae,Asterales,42,0,58,CR
Hieracium humile,Hieracium,humile,Asteraceae,Asterales,39.56,1.63,58.8,CR
Schlagintweitia intybacea,Schlagintweitia,intybacea,Asteraceae,Asterales,32.57,13.42,54.01,R/CSR
Pilosella lactucella,Pilosella,lactucella,Asteraceae,Asterales,26.35,0,73.65,R/CR
Hieracium laevigatum,Hieracium,laevigatum,Asteraceae,Asterales,26.83,3.29,69.87,R/CR
Pilosella piloselloides,Pilosella,piloselloides,Asteraceae,Asterales,36.09,23.9,40.02,CR/CSR
Hieracium porrifolium,Hieracium,porrifolium,Asteraceae,Asterales,31.4,30.24,38.36,CSR
Pilosella caespitosa,Pilosella,caespitosa,Asteraceae,Asterales,39.78,18.52,41.7,CR/CSR
Hieracium prenanthoides,Hieracium,prenanthoides,Asteraceae,Asterales,29.27,29.82,40.9,CSR
Hieracium racemosum,Hieracium,racemosum,Asteraceae,Asterales,42,0,58,CR
Hieracium tenuiflorum,Hieracium,tenuiflorum,Asteraceae,Asterales,27.16,2.96,69.88,R/CR
Hieracium villosum,Hieracium,villosum,Asteraceae,Asterales,29.32,22.31,48.37,R/CSR
Himantoglossum hircinum,Himantoglossum,hircinum,Orchidaceae,Asparagales,63.18,0,36.82,C/CR
Homogyne alpina,Homogyne,alpina,Asteraceae,Asterales,24.89,73.92,1.19,S/CS
Honckenya peploides,Honckenya,peploides,Caryophyllaceae,Caryophyllales,5.18,23.51,71.32,R/SR
Horminum pyrenaicum,Horminum,pyrenaicum,Lamiaceae,Lamiales,51.27,15.45,33.28,CR/CSR
Hornungia alpina,Hornungia,alpina,Brassicaceae,Brassicales,1.23,0,98.77,R
Houstonia longifolia,Houstonia,longifolia,Rubiaceae,Gentianales,5.33,31.45,63.22,R/SR
Houstonia wrightii,Houstonia,wrightii,Rubiaceae,Gentianales,4.14,0,95.86,R
Huperzia selago,Huperzia,selago,Lycopodiaceae,Lycopodiales,0,81.27,18.73,S/SR
Hydrophyllum virginianum,Hydrophyllum,virginianum,Boraginaceae,Boraginales,56.41,0,43.59,CR
Hymenopappus mexicanus,Hymenopappus,mexicanus,Asteraceae,Asterales,55.97,0,44.03,CR
Hypericum elodes,Hypericum,elodes,Hypericaceae,Malpighiales,5.94,24.96,69.1,R/SR
Hypericum hirsutum,Hypericum,hirsutum,Hypericaceae,Malpighiales,17.67,39.45,42.88,SR/CSR
Hypericum linarioides,Hypericum,linarioides,Hypericaceae,Malpighiales,4.61,53.97,41.42,SR
Hypochoeris maculata,Hypochoeris,maculata,Asteraceae,Asterales,71.15,0,28.85,C/CR
Hypochoeris radicata,Hypochoeris,radicata,Asteraceae,Asterales,63.13,0,36.87,C/CR
Impatiens noli-tangere,Impatiens,noli-tangere,Balsaminaceae,Ericales,33.49,0,66.51,R/CR
Impatiens pallida,Impatiens,pallida,Balsaminaceae,Ericales,11.93,56.59,31.48,S/CSR
Inula hirta,Inula,hirta,Asteraceae,Asterales,18.17,64.97,16.86,S/CSR
Iris missouriensis,Iris,missouriensis,Iridaceae,Asparagales,48.9,51.1,0,CS
Enemion biternatum,Enemion,biternatum,Ranunculaceae,Ranunculales,18.23,9.97,71.8,R/CR
Jurinea cyanoides,Jurinea,cyanoides,Asteraceae,Asterales,45.12,54.88,0,CS
Kemulariella caucasica,Kemulariella,caucasica,Asteraceae,Asterales,25.67,28.26,46.07,R/CSR
Kernera saxatilis,Kernera,saxatilis,Brassicaceae,Brassicales,0.51,0,99.49,R
Knautia drymeia,Knautia,drymeia,Caprifoliaceae,Dipsacales,57.1,0,42.9,CR
Knautia transalpina,Knautia,transalpina,Caprifoliaceae,Dipsacales,67.08,8.6,24.31,C/CR
Knautia velutina,Knautia,velutina,Caprifoliaceae,Dipsacales,68.98,0,31.02,C/CR
Lactuca perennis,Lactuca,perennis,Asteraceae,Asterales,55.15,0,44.85,CR
Lappula deflexa,Lappula,deflexa,Boraginaceae,Boraginales,51.34,0,48.66,CR
Laserpitium halleri,Laserpitium,halleri,Apiaceae,Apiales,70.21,24.79,5,C/CS
Laserpitium latifolium,Laserpitium,latifolium,Apiaceae,Apiales,81.73,6.22,12.05,C
Laserpitium nitidum,Laserpitium,nitidum,Apiaceae,Apiales,61,25.33,13.67,C/CSR
Laserpitium prutenicum,Laserpitium,prutenicum,Apiaceae,Apiales,59.71,23.34,16.95,C/CSR
Laserpitium siler,Laserpitium,siler,Apiaceae,Apiales,60.62,32.81,6.57,C/CS
Lathyrus vernus,Lathyrus,vernus,Fabaceae,Fabales,40.34,0,59.66,CR
Leiothrix crassifolia,Leiothrix,crassifolia,Eriocaulaceae,Poales,11.72,54.01,34.27,SR/CSR
Scorzoneroides autumnalis,Scorzoneroides,autumnalis,Asteraceae,Asterales,16.97,42.24,40.79,SR/CSR
Leontodon incanus,Leontodon,incanus,Asteraceae,Asterales,41.02,23.35,35.63,CR/CSR
Scorzoneroides montana,Scorzoneroides,montana,Asteraceae,Asterales,41.59,13.15,45.26,CR/CSR
Scorzoneroides pyrenaica,Scorzoneroides,pyrenaica,Asteraceae,Asterales,32.77,0,67.23,R/CR
Chaiturus marrubiastrum,Chaiturus,marrubiastrum,Lamiaceae,Lamiales,38.27,28.2,33.53,CSR
Lespedeza capitata,Lespedeza,capitata,Fabaceae,Fabales,16.53,63.29,20.18,S/CSR
Leucanthemum heterophyllum,Leucanthemum,heterophyllum,Asteraceae,Asterales,38.37,0,61.63,CR
Leucanthemum ircutianum,Leucanthemum,ircutianum,Asteraceae,Asterales,45.44,15.4,39.16,CR/CSR
Liatris squarrulosa,Liatris,squarrulosa,Asteraceae,Asterales,15.26,84.74,0,S
Ligusticum mutellina,Ligusticum,mutellina,Apiaceae,Apiales,22.17,46.01,31.82,SR/CSR
Linnaea borealis,Linnaea,borealis,Caprifoliaceae,Dipsacales,5.68,42.1,52.22,SR
Linum australe,Linum,australe,Linaceae,Malpighiales,0,83.14,16.86,S/SR
Linum medium,Linum,medium,Linaceae,Malpighiales,0,0,100,R
Linum tenuifolium,Linum,tenuifolium,Linaceae,Malpighiales,0.29,65.92,33.79,S/SR
Liparis loeselii,Liparis,loeselii,Orchidaceae,Asparagales,30.43,0,69.57,R/CR
Neottia cordata,Neottia,cordata,Orchidaceae,Asparagales,15.03,0,84.97,R
Neottia ovata,Neottia,ovata,Orchidaceae,Asparagales,52.78,0,47.22,CR
Lithospermum multiflorum,Lithospermum,multiflorum,Boraginaceae,Boraginales,13.89,65.91,20.2,S/SR
Lloydia serotina,Lloydia,serotina,Liliaceae,Liliales,34.68,0,65.32,R/CR
Lobelia spicata,Lobelia,spicata,Campanulaceae,Asterales,4.36,65.27,30.37,S/SR
Filago arvensis,Filago,arvensis,Asteraceae,Asterales,4,29.99,66.01,R/SR
Lomelosia argentea,Lomelosia,argentea,Caprifoliaceae,Dipsacales,7.87,92.13,0,S
Lomelosia graminifolia,Lomelosia,graminifolia,Caprifoliaceae,Dipsacales,29.69,30.62,39.69,CSR
Ottleya wrightii,Ottleya,wrightii,Fabaceae,Fabales,18.62,9.76,71.62,R/CR
Lupinus kingii,Lupinus,kingii,Fabaceae,Fabales,31.2,0,68.8,R/CR
Lycopodiella inundata,Lycopodiella,inundata,Lycopodiaceae,Lycopodiales,0,0,100,R
Lycopodium annotinum,Lycopodium,annotinum,Lycopodiaceae,Lycopodiales,0,64.11,35.89,S/SR
Lycopodium clavatum,Lycopodium,clavatum,Lycopodiaceae,Lycopodiales,0,68.75,31.25,S/SR
Lycopus americanus,Lycopus,americanus,Lamiaceae,Lamiales,16.87,32.13,51,R/CSR
Lysimachia thyrsiflora,Lysimachia,thyrsiflora,Primulaceae,Ericales,32.49,15.19,52.31,R/CSR
Lythrum hyssopifolia,Lythrum,hyssopifolia,Lythraceae,Myrtales,0,38.85,61.15,SR
Machaeranthera canescens,Machaeranthera,canescens,Asteraceae,Asterales,9.51,81.61,8.88,S
Machaeranthera gracilis,Machaeranthera,gracilis,Asteraceae,Asterales,0,57.75,42.25,SR
Maianthemum bifolium,Maianthemum,bifolium,Asparagaceae,Asparagales,30.02,30.55,39.43,CSR
Maianthemum canadense,Maianthemum,canadense,Asparagaceae,Asparagales,20.01,52.66,27.33,S/CSR
Maranta noctiflora,Maranta,noctiflora,Marantaceae,Zingiberales,35.66,33.16,31.18,CSR
Matricaria breviradiata,Matricaria,breviradiata,Asteraceae,Asterales,19.94,0,80.06,R/CR
Medicago marina,Medicago,marina,Fabaceae,Fabales,9.6,69.62,20.78,S/SR
Melampyrum cristatum,Melampyrum,cristatum,Orobanchaceae,Lamiales,21.53,14.43,64.04,R/CR
Melampyrum nemorosum,Melampyrum,nemorosum,Orobanchaceae,Lamiales,22.89,0,77.11,R/CR
Melampyrum pratense,Melampyrum,pratense,Orobanchaceae,Lamiales,33.98,33.17,32.86,CSR
Melampyrum sylvaticum,Melampyrum,sylvaticum,Orobanchaceae,Lamiales,17.12,0,82.88,R/CR
Minuartia aizoides,Minuartia,aizoides,Caryophyllaceae,Caryophyllales,4.66,34.98,60.36,R/SR
Minuartia circassica,Minuartia,circassica,Caryophyllaceae,Caryophyllales,0,78.3,21.7,S/SR
Minuartia recurva,Minuartia,recurva,Caryophyllaceae,Caryophyllales,0.33,85.79,13.88,S
Minuartia verna,Minuartia,verna,Caryophyllaceae,Caryophyllales,0,52.9,47.1,SR
Mirabilis decipiens,Mirabilis,decipiens,Nyctaginaceae,Caryophyllales,36.68,0,63.32,R/CR
Mitella diphylla,Mitella,diphylla,Saxifragaceae,Saxifragales,46.9,0,53.1,CR
Moehringia ciliata,Moehringia,ciliata,Caryophyllaceae,Caryophyllales,0,75.97,24.03,S/SR
Myosotis rehsteineri,Myosotis,rehsteineri,Boraginaceae,Boraginales,8.49,9.32,82.19,R
Myosoton aquaticum,Myosoton,aquaticum,Caryophyllaceae,Caryophyllales,24.46,0,75.54,R/CR
Nama dichotoma,Nama,dichotoma,Boraginaceae,Boraginales,0.23,0,99.77,R
Neotinea tridentata,Neotinea,tridentata,Orchidaceae,Asparagales,51.05,0,48.95,CR
Neotinea ustulata,Neotinea,ustulata,Orchidaceae,Asparagales,34.55,0,65.45,R/CR
Neptunia lutea,Neptunia,lutea,Fabaceae,Fabales,4.79,73.26,21.95,S/SR
Noccaea montana,Noccaea,montana,Brassicaceae,Brassicales,16.34,0,83.66,R/CR
Odontites verna,Odontites,verna,Orobanchaceae,Lamiales,9.29,25.09,65.63,R/SR
Oenothera oakesiana,Oenothera,oakesiana,Onagraceae,Myrtales,55.78,0,44.22,CR
Oenothera erythrosepala,Oenothera,erythrosepala,Onagraceae,Myrtales,63.36,0,36.64,C/CR
Omalotheca norvegica,Omalotheca,norvegica,Asteraceae,Asterales,17.68,38.92,43.4,SR/CSR
Omalotheca supina,Omalotheca,supina,Asteraceae,Asterales,0,53.67,46.33,SR
Ononis repens,Ononis,repens,Fabaceae,Fabales,3.66,42.65,53.69,SR
Ophrys benacensis,Ophrys,benacensis,Orchidaceae,Asparagales,28.72,0,71.28,R/CR
Ophrys fuciflora,Ophrys,fuciflora,Orchidaceae,Asparagales,38.83,0,61.17,CR
Ophrys sphegodes,Ophrys,sphegodes,Orchidaceae,Asparagales,31.72,0,68.28,R/CR
Orchis mascula,Orchis,mascula,Orchidaceae,Asparagales,65.56,0,34.44,C/CR
Orchis militaris,Orchis,militaris,Orchidaceae,Asparagales,68.12,0,31.88,C/CR
Orchis morio,Orchis,morio,Orchidaceae,Asparagales,25.21,0,74.79,R/CR
Orchis purpurea,Orchis,purpurea,Orchidaceae,Asparagales,64.39,0,35.61,C/CR
Orchis simia,Orchis,simia,Orchidaceae,Asparagales,55.91,0,44.09,CR
Oxalis acetosella,Oxalis,acetosella,Oxalidaceae,Oxalidales,22.4,0,77.6,R/CR
Oxalis alpina,Oxalis,alpina,Oxalidaceae,Oxalidales,10.08,0,89.92,R
Oxyria digyna,Oxyria,digyna,Polygonaceae,Caryophyllales,22.1,0,77.9,R/CR
Oxytropis campestris,Oxytropis,campestris,Fabaceae,Fabales,31.48,30.19,38.33,CSR
Oxytropis kubanensis,Oxytropis,kubanensis,Fabaceae,Fabales,25.36,54.92,19.72,S/CSR
Oxytropis lambertii,Oxytropis,lambertii,Fabaceae,Fabales,44.5,52.74,2.76,CS
Packera multilobata,Packera,multilobata,Asteraceae,Asterales,33.54,34.55,31.91,CSR
Paepalanthus geniculatus,Paepalanthus,geniculatus,Eriocaulaceae,Poales,14.28,80.36,5.37,S/CS
Paepalanthus nigrescens,Paepalanthus,nigrescens,Eriocaulaceae,Poales,27.2,58.04,14.76,S/CSR
Papaver apulum,Papaver,apulum,Papaveraceae,Ranunculales,24.48,7.5,68.02,R/CR
Papaver rhaeticum,Papaver,rhaeticum,Papaveraceae,Ranunculales,21.97,0,78.03,R/CR
Paris quadrifolia,Paris,quadrifolia,Melanthiaceae,Liliales,48.47,0,51.53,CR
Parnassia palustris,Parnassia,palustris,Celastraceae,Celastrales,20.96,18.81,60.23,R/CSR
Pedicularis caucasica,Pedicularis,caucasica,Orobanchaceae,Lamiales,13.54,63.35,23.11,S/SR
Pedicularis comosa,Pedicularis,comosa,Orobanchaceae,Lamiales,27.31,48.87,23.82,S/CSR
Pedicularis condensata,Pedicularis,condensata,Orobanchaceae,Lamiales,35.92,34.46,29.62,CSR
Pedicularis gyroflexa,Pedicularis,gyroflexa,Orobanchaceae,Lamiales,23.33,59.29,17.38,S/CSR
Pedicularis kerneri,Pedicularis,kerneri,Orobanchaceae,Lamiales,19.67,75.07,5.26,S/CS
Pedicularis lapponica,Pedicularis,lapponica,Orobanchaceae,Lamiales,12.59,29.99,57.42,R/CSR
Pedicularis nordmanniana,Pedicularis,nordmanniana,Orobanchaceae,Lamiales,20.51,24.09,55.4,R/CSR
Pedicularis oederi,Pedicularis,oederi,Orobanchaceae,Lamiales,23.21,0,76.79,R/CR
Pedicularis palustris,Pedicularis,palustris,Orobanchaceae,Lamiales,23.33,0,76.67,R/CR
Pedicularis rostratocapitata,Pedicularis,rostratocapitata,Orobanchaceae,Lamiales,23.36,48.68,27.95,S/CSR
Pedicularis verticillata,Pedicularis,verticillata,Orobanchaceae,Lamiales,12.46,22.53,65.01,R/SR
Pellaea cymbiformis,Pellaea,cymbiformis,Pteridaceae,Polypodiales,27.71,72.29,0,S/CS
Penstemon virgatus,Penstemon,virgatus,Plantaginaceae,Lamiales,21.08,78.92,0,S/CS
Peucedanum cervaria,Peucedanum,cervaria,Apiaceae,Apiales,58.23,28.06,13.71,C/CSR
Peucedanum officinale,Peucedanum,officinale,Apiaceae,Apiales,62.2,37.53,0.27,CS
Peucedanum oreoselinum,Peucedanum,oreoselinum,Apiaceae,Apiales,49.51,33.18,17.3,CS/CSR
Phegopteris connectilis,Phegopteris,connectilis,Thelypteridaceae,Polypodiales,50.45,3.63,45.92,CR
Physoplexis comosa,Physoplexis,comosa,Campanulaceae,Asterales,31.45,25.11,43.44,CSR
Phyteuma betonicifolium,Phyteuma,betonicifolium,Campanulaceae,Asterales,40.21,0,59.79,CR
Phyteuma globulariifolium,Phyteuma,globulariifolium,Campanulaceae,Asterales,3.32,41.76,54.92,SR
Phyteuma hemisphaericum,Phyteuma,hemisphaericum,Campanulaceae,Asterales,2.94,31.98,65.08,R/SR
Phyteuma ovatum,Phyteuma,ovatum,Campanulaceae,Asterales,35.99,0,64.01,R/CR
Helminthotheca echioides,Helminthotheca,echioides,Asteraceae,Asterales,55.5,0,44.5,CR
Pimpinella saxifraga,Pimpinella,saxifraga,Apiaceae,Apiales,12.89,55.91,31.2,S/CSR
Pinguicula alpina,Pinguicula,alpina,Lentibulariaceae,Lamiales,5.67,0,94.33,R
Pinguicula vulgaris,Pinguicula,vulgaris,Lentibulariaceae,Lamiales,11.41,0,88.59,R
Plantago alpina,Plantago,alpina,Plantaginaceae,Lamiales,16.95,34.47,48.58,SR/CSR
Plantago arenaria,Plantago,arenaria,Plantaginaceae,Lamiales,19.49,0,80.51,R/CR
Plantago argyraea,Plantago,argyraea,Plantaginaceae,Lamiales,12.47,66.75,20.78,S/SR
Plantago atrata,Plantago,atrata,Plantaginaceae,Lamiales,39.62,41.05,19.33,CS/CSR
Platanthera bifolia,Platanthera,bifolia,Orchidaceae,Asparagales,50.09,0,49.91,CR
